,C061129A1-SR-C1,C060112A1-SR-C1,C060202A4-SR-C1,C061128A3-SR-C1,C060116A4-SR-C1,C060116A1-SR-C1,C061128A1-SR-C1,C061128A4-SR-C1,C061121A1-SR-C1,C061208A2-SR-C1,C060112A6-SR-C1,C061208A3-SR-C1,C060116A6-SR-C1,C060202A2-SR-C1,C060112A4-SR-C1,C070109A4-C1,C060209A3-SR-C1,C060114A6-SR-C1,C060116A7-SR-C1,C060109A1-SR-C1,C080501B2-SR-C1,C060112A7-SR-C1,C061129A3-SR-C1,C060109A3-SR-C1,C060114A5-SR-C1,C060110A2-SR-C1,C060114A7-SR-C1,C060110A3-SR-C1,C060109A2-SR-C1,C060116A3-SR-C1,C061128B1-SR-C1,C060114A4-SR-C1,C061128B2-SR-C1,C060112A3-SR-C1,C060202A1-SR-C1,C061208B2-SR-C1,C080501A5-SR-C1,C061128A5-SR-C1,C061208B1-SR-C1,C060110A5-SR-C1,C060114A2-SR-C1,C060202A6-SR-C1,C060202A5-SR-C1,C060116A5-SR-C1
APWaveform_150.soma.v.AHP_time_from_peak,15.5333,,15.7667,,,,,,,,,,8.0,17.3333,,,,,,,15.8333,,11.125,,16.7,,,2.9667,,,13.4,14.5333,,,,,,18.2,,,,,,4.3333
APWaveform_150.soma.v.AP1_peak,16.7896,,15.7792,,,,,23.175,,19.3958,,,5.3479,14.5875,24.4896,,,,,,20.3083,,29.7891,,24.9125,,,16.7229,,,19.7583,23.3688,,,14.525,6.1437,,19.1396,,,,,,7.4646
APWaveform_150.soma.v.AP1_begin_width,36.4333,,35.6667,,,,,,,,,,31.5333,47.6667,,,,,,,3.3333,,6.45,,5.3333,,,24.3,,,3.8,41.0667,,,,,,12.0,,,,,,28.2333
APWaveform_150.soma.v.AP1_width,1.5873,,1.4733,,,,,,,,,,1.5369,1.602,,,,,,,1.2553,,1.1011,,1.4518,,,1.2912,,,1.3772,1.4601,,,,,,1.5648,,,,,,1.4102
APWaveform_150.soma.v.AHP1_depth_from_peak,74.7687,,77.6458,,,,,,,,,,61.375,81.0104,,,,,,,83.6813,,85.4422,,85.725,,,74.1604,,,77.2396,85.6,,,,,,76.5813,,,,,,65.9625
APWaveform_150.soma.v.AP1_amp,107.2292,,104.95,,,,,,,,,,103.0979,103.1688,,,,,,,73.9729,,83.6953,,81.0854,,,105.4063,,,70.7188,111.7271,,,,,,74.0667,,,,,,104.8417
APWaveform_150.soma.v.AP_amplitude,107.2292,,104.95,,,,,,,,,,103.0979,103.1688,,,,,,,73.9729,,83.6953,,81.0854,,,105.4063,,,70.7188,111.7271,,,,,,74.0667,,,,,,104.8417
APWaveform_150.soma.v.APlast_amp,107.2292,,104.95,,,,,,,,,,103.0979,103.1688,,,,,,,73.9729,,83.6953,,81.0854,,,105.4063,,,70.7188,111.7271,,,,,,74.0667,,,,,,104.8417
APWaveform_150.soma.v.AP_duration_half_width,1.7,,,,,,,,,,,,1.3667,2.1667,,,,,,,1.2333,,,,,,,1.8333,,,1.1,2.0333,,,,,,,,,,,,1.2
APWaveform_160.soma.v.AP_height,15.3094,,15.7792,11.3292,27.1583,,24.1328,22.8687,23.8344,19.3958,,9.6417,5.3479,,24.4896,,11.7125,24.525,,,20.3083,29.5188,29.7891,,24.9125,,10.1042,16.7229,,31.3875,19.7583,23.3688,,,,,,19.1396,14.0833,,18.4125,10.8,2.0958,7.4646
APWaveform_160.soma.v.time_to_first_spike,20.9,,20.1,17.5,26.1667,,14.55,33.0,16.25,35.2333,,32.3667,23.7333,,34.8,,34.5333,20.9333,,,31.3333,45.9,23.425,,29.9,,31.8,21.7333,,20.1333,23.5,26.7333,,,,,,19.6,32.0,,27.1667,36.5,30.4333,24.1
APWaveform_160.soma.v.AHP_depth_abs,-57.8062,,-61.8667,-48.6812,-61.4417,,-52.2875,-63.1875,-53.9344,,,-58.1146,-56.0271,,,,,-59.4354,,,-63.3729,,-55.6531,,-60.8125,,-59.95,-57.4375,,-56.8,-57.4813,-62.2312,,,,,,-57.4417,-59.55,,-60.1375,,-59.4042,-58.4979
APWaveform_160.soma.v.AHP_depth,25.4271,,20.1059,33.9663,21.5792,,29.7365,18.5797,28.9766,,,25.1323,27.3622,,,,,23.2479,,,19.7132,,26.3276,,22.2049,,23.5307,25.7465,,25.1021,25.4795,20.9264,,,,,,25.5514,23.7479,,23.1507,,24.1049,25.6799
APWaveform_160.soma.v.fast_AHP,-34.0406,,,-47.0542,,,-35.1406,,-35.2594,,,,,,,,,,,,,,,,,,,,,,6.5208,,,,,,,2.5146,,,,,,
APWaveform_160.soma.v.AHP_time_from_peak,14.75,,15.7667,4.1667,15.2333,,7.0,15.85,11.65,,,10.2,8.0,,,,,4.2667,,,15.8333,,11.125,,16.7,,15.95,2.9667,,5.9333,13.4,14.5333,,,,,,18.2,15.7,,10.9333,,15.5333,4.3333
APWaveform_160.soma.v.AP1_peak,15.3094,,15.7792,8.8854,27.1583,,24.1063,22.8687,23.8344,19.3958,,9.6417,5.3479,,24.4896,,11.7125,24.525,,,20.3083,29.5188,29.7891,,24.9125,,10.1042,16.7229,,31.3875,19.7583,23.3688,,,,,,19.1396,14.0833,,18.4125,10.8,2.0958,7.4646
APWaveform_160.soma.v.AP1_begin_width,35.25,,35.6667,21.2667,5.7333,,21.15,7.05,27.5,,,42.3667,31.5333,,,,,18.6,,,3.3333,,6.45,,5.3333,,46.4,24.3,,,3.8,41.0667,,,,,,12.0,46.4,,37.9,,45.7667,28.2333
APWaveform_160.soma.v.AP1_width,1.6057,,1.4733,1.6139,1.1397,,1.1446,1.5782,1.4109,,,1.4899,1.5369,,,,,1.4042,,,1.2553,,1.1011,,1.4518,,2.0422,1.2912,,1.126,1.3772,1.4601,,,,,,1.5648,1.7092,,1.5275,,2.0193,1.4102
APWaveform_160.soma.v.AHP1_depth_from_peak,73.1156,,77.6458,57.5667,88.6,,76.3938,85.5406,77.7688,,,67.7562,61.375,,,,,83.9604,,,83.6813,,85.4422,,85.725,,69.4312,74.1604,,88.1875,77.2396,85.6,,,,,,76.5813,73.3063,,78.55,,61.5,65.9625
APWaveform_160.soma.v.AP1_amp,107.1562,,104.95,104.6208,84.4313,,111.5344,78.4281,113.0281,,,101.7333,103.0979,,,,,104.8583,,,73.9729,,83.6953,,81.0854,,101.9969,105.4063,,85.7313,70.7188,111.7271,,,,,,74.0667,104.7375,,107.3146,,94.2104,104.8417
APWaveform_160.soma.v.AP_amplitude,107.1562,,104.95,81.724,84.4313,,91.7891,78.4281,113.0281,,,101.7333,103.0979,,,,,104.8583,,,73.9729,,83.6953,,81.0854,,101.9969,105.4063,,85.7313,70.7188,111.7271,,,,,,74.0667,104.7375,,107.3146,,94.2104,104.8417
APWaveform_160.soma.v.APlast_amp,107.1562,,104.95,58.8271,84.4313,,72.0438,78.4281,113.0281,,,101.7333,103.0979,,,,,104.8583,,,73.9729,,83.6953,,81.0854,,101.9969,105.4063,,85.7313,70.7188,111.7271,,,,,,74.0667,104.7375,,107.3146,,94.2104,104.8417
APWaveform_160.soma.v.AP_duration_half_width,2.25,,,0.85,1.1667,,1.525,1.45,,,,1.2333,1.3667,,,,,1.8667,,,1.2333,,,,,,,1.8333,,1.1333,1.1,2.0333,,,,,,,2.55,,1.1333,,0.9333,1.2
APWaveform_200.soma.v.AP_height,17.9953,,15.9229,9.999,26.8042,,21.9299,22.1479,23.8323,16.7573,35.0031,11.0365,6.8396,,23.7354,,10.9333,23.7188,,22.3667,19.0833,28.6521,29.1438,15.6479,23.6333,19.3656,9.2146,19.3375,30.3708,30.7792,20.6917,22.875,,,,,,18.9375,11.2604,,17.6438,9.6021,1.7375,9.5448
APWaveform_200.soma.v.doublet_ISI,25.5,,,17.8333,,,14.2333,,23.6333,,23.4667,21.9333,26.9,,,,,32.2,,,,,26.8,,,,,26.4,,24.5333,28.2667,,,,,,,31.3,,,,,,18.2333
APWaveform_200.soma.v.AP_width,1.85,,,2.9,,,2.6667,2.0667,2.5833,1.6333,,1.5667,,,,,2.0333,,,1.4667,1.4333,1.9333,,1.7667,,1.4667,2.2667,,1.6333,1.7833,,1.7333,,,,,,,,,1.8333,1.7667,2.0667,1.7667
APWaveform_200.soma.v.time_to_first_spike,15.0,,14.0,13.4667,18.1667,,10.6,24.1,11.3667,22.8667,12.8,20.5667,14.8667,,23.4333,,25.3667,14.7333,,19.4667,21.3333,32.5333,16.35,19.0667,20.2667,14.3333,21.5333,13.8667,17.2,13.5333,15.0,17.4667,,,,,,14.95,20.5667,,18.9,25.8667,21.6,16.1667
APWaveform_200.soma.v.AHP_depth_abs,-53.8562,,-58.4958,-52.6302,-57.9104,,-53.2927,-60.6354,-52.9594,-54.9438,-50.5708,-56.8625,-56.0667,,-57.7417,,-66.2854,-59.9083,,-63.7688,-59.2313,-57.7958,-52.525,-54.4958,-56.7896,-61.4146,-55.9583,-57.7042,-59.4729,-57.0427,-53.7188,-60.7938,,,,,,-54.8937,-56.0458,,-58.2646,-57.9333,-55.8542,-59.7792
APWaveform_200.soma.v.AHP_depth,29.463,,23.609,30.2285,25.009,,28.3889,21.4983,29.4576,27.7198,30.9,26.2608,27.075,,25.5622,,16.5437,22.9104,,20.3024,23.9434,24.7955,29.6854,29.1222,26.3733,23.3396,28.0663,25.141,23.9142,24.8042,28.9538,22.4024,,,,,,27.8818,27.3378,,25.0969,26.3368,27.6097,24.4264
APWaveform_200.soma.v.fast_AHP,-42.2594,,,-18.5635,,,-13.9052,,-23.6479,,-33.9208,-37.2979,-45.0417,,,,,-32.5438,,,,,-33.8938,,,,,-31.9958,,-28.9771,-34.3417,,,,,,,-33.6844,,,,,,-41.7208
APWaveform_200.soma.v.AHP_time_from_peak,4.9,,11.8,7.8667,5.1333,,8.65,16.0667,9.1167,7.4333,4.2333,3.4333,3.0,,18.4,,16.7,3.5,,9.6333,10.9,10.3667,3.95,3.1333,5.5667,3.3667,9.6667,2.5333,13.9667,5.5,4.9667,12.3667,,,,,,15.25,10.9667,,5.7333,10.7667,13.0,5.3667
APWaveform_200.soma.v.AP1_peak,14.7313,,14.9813,8.2521,26.8042,,23.5396,22.1479,22.8708,15.8521,38.0687,6.7042,4.2687,,23.7354,,10.9333,23.0042,,22.3667,19.0833,28.6521,28.6563,15.6479,23.6333,18.825,9.2146,16.5958,30.3708,30.8042,18.8063,22.875,,,,,,18.775,11.2604,,17.6438,9.6021,1.7375,6.3062
APWaveform_200.soma.v.AP2_AP1_peak_diff,6.5281,,,3.4937,,,-4.0521,,1.9229,,-6.1312,8.6646,7.7125,,,,,2.1438,,,,,0.975,,,,,5.4833,,-0.05,3.7708,,,,,,,0.325,,,,,,6.4771
APWaveform_200.soma.v.AP1_begin_width,19.6,,25.6,17.2,23.1,,14.3333,9.1,17.7333,30.1,16.8333,23.8,17.6667,,30.4667,,6.2,18.0333,,8.1,31.9333,6.0667,20.0,21.8,25.6333,17.3,31.0,16.0,30.7667,17.1,19.5667,29.6333,,,,,,29.8,31.3333,,24.4333,36.4333,34.4,18.9667
APWaveform_200.soma.v.AP2_peak,21.2594,,,11.7458,,,19.4875,,24.7938,,31.9375,15.3688,12.0188,,,,,25.3,,,,,29.6313,,,,,22.0792,,30.7542,22.5771,,,,,,,19.1,,,,,,12.7833
APWaveform_200.soma.v.AP1_width,1.4191,,1.3762,1.5521,1.0414,,1.1432,1.4216,1.3268,1.2738,1.1063,1.3399,1.3278,,1.3122,,1.7551,1.3119,,1.0956,1.1282,1.2387,1.0022,1.4069,1.2891,1.128,1.8181,1.2432,1.0929,1.0484,1.174,1.2976,,,,,,1.4937,1.4752,,1.5145,1.3801,1.8543,1.3181
APWaveform_200.soma.v.AHP1_depth_from_peak,68.5875,,73.4771,57.9438,84.7146,,73.5063,82.7833,74.0958,70.7958,88.6396,63.5667,60.3354,,81.4771,,77.2188,82.9125,,86.1354,78.3146,86.4479,81.1812,70.1437,80.4229,80.2396,65.1729,74.3,89.8438,87.375,72.525,83.6688,,,,,,73.6687,67.3062,,75.9083,67.5354,57.5917,65.2812
APWaveform_200.soma.v.AP1_amp,110.8469,,106.0896,106.8167,114.8625,,111.8938,79.3313,114.8208,108.0271,122.5604,100.8646,105.3771,,99.4312,,70.2479,115.1917,,86.4542,107.5354,84.0875,115.075,105.05,111.6729,108.0896,104.2792,106.2958,118.0729,116.3521,106.8667,112.5729,,,,,,107.3531,104.2437,,108.0229,100.3271,95.9625,107.0021
APWaveform_200.soma.v.AP2_amp,71.0688,,,55.5688,,,65.5292,,70.5021,,74.2646,66.3396,60.6656,,,,,80.4563,,,,,77.8469,,,,,70.7187,,79.8812,69.7667,,,,,,,68.4594,,,,,,65.9479
APWaveform_200.soma.v.AP_amplitude,90.9578,,99.9115,81.1927,114.8625,,87.3167,79.3313,92.6615,101.7125,98.4125,83.6021,90.2781,,99.4312,,70.2479,103.5406,,86.4542,107.5354,84.0875,96.4609,105.05,111.6729,103.1479,104.2792,88.5073,118.0729,98.1167,88.3167,112.5729,,,,,,87.9062,104.2437,,108.0229,100.3271,95.9625,86.475
APWaveform_200.soma.v.APlast_amp,71.0688,,93.7333,55.5688,114.8625,,69.2438,79.3313,70.5021,95.3979,74.2646,66.3396,75.1792,,99.4312,,70.2479,91.8896,,86.4542,107.5354,84.0875,77.8469,105.05,111.6729,98.2063,104.2792,70.7187,118.0729,79.8812,69.7667,112.5729,,,,,,68.4594,104.2437,,108.0229,100.3271,95.9625,65.9479
APWaveform_200.soma.v.AP_duration_half_width,1.525,,1.8333,1.2167,,,1.6,1.4333,1.1333,1.7333,2.0333,1.3833,1.3167,,1.6333,,0.9667,1.8,,1.2333,1.6333,1.2667,1.625,1.6,,1.6333,0.8333,1.0167,1.5333,1.7333,1.75,1.8333,,,,,,1.475,1.7333,,1.1,1.6667,,1.2
APWaveform_240.soma.v.AP_height,16.4219,,16.9385,9.1063,26.2156,33.1177,19.4347,21.3677,22.1135,17.7417,33.2656,,6.9802,,23.8625,,10.325,21.6198,17.001,22.4562,20.2448,27.8677,26.9828,16.9125,22.6859,17.85,11.3458,17.6083,29.699,28.8521,18.0625,21.9156,,,11.7979,,,,12.8688,26.2906,17.6625,11.0729,6.325,6.5344
APWaveform_240.soma.v.doublet_ISI,15.95,,25.5333,14.0667,23.7333,25.5,8.9667,,17.6,19.3667,19.1,,17.1,,,,,24.5667,29.0,,22.3667,,19.25,,26.55,22.7,26.2667,15.9,31.4667,17.5667,17.9333,29.4667,,,29.3333,,,,25.0333,30.85,26.6667,23.0,26.9333,9.0
APWaveform_240.soma.v.time_to_first_spike,11.75,,10.7333,11.2,13.8667,13.0667,8.8,18.9333,9.1333,15.7667,10.1667,,11.3333,,17.6667,,20.1,11.6333,15.5,14.5333,16.4667,23.9333,12.35,14.5667,15.45,10.7667,16.4333,10.7667,12.7333,10.2333,11.4667,12.9,,,15.4,,,,14.7,12.7,14.5,19.8,16.9333,12.5
APWaveform_240.soma.v.AHP_depth_abs,-57.5906,,-58.274,-52.1083,-57.6958,-58.3031,-52.3313,-58.0375,-52.824,-58.2594,-51.825,,-58.6698,,-54.7833,,-64.2583,-63.1708,-55.1479,-61.3979,-58.7615,-56.9021,-57.2078,-54.3854,-57.1031,-62.1156,-54.1063,-58.7406,-55.7917,-57.8896,-57.0406,-58.9458,,,-58.7042,,,,-54.4021,-57.975,-57.7438,-56.0333,-52.4479,-61.125
APWaveform_240.soma.v.AHP_depth,25.8229,,23.4135,30.7066,25.3771,24.1351,29.4712,23.8979,29.3382,24.2017,28.892,,24.3913,,28.6253,,18.4191,19.9392,27.3958,22.4115,24.4618,25.6278,24.8703,29.1163,26.3172,22.6896,29.5271,23.9823,27.649,24.0872,25.6944,23.9323,,,25.8566,,,,29.1285,25.1047,25.7389,28.251,30.8903,22.974
APWaveform_240.soma.v.fast_AHP,-15.7516,,-37.0521,-20.4865,-31.5271,-27.7729,-15.676,-0.4906,-16.3833,-38.8937,-33.9625,,-48.0833,,,,,-34.0271,-38.8167,,-32.2396,-0.8437,-34.4313,,-32.1469,-28.7792,-42.75,-32.9958,-32.7938,-29.5063,-11.875,-31.7438,,,-35.3104,,,,-40.6542,-30.5719,-34.1396,-36.025,-43.7875,-44.9125
APWaveform_240.soma.v.AHP_time_from_peak,8.7,,8.15,7.2833,4.2667,5.3167,7.9667,12.9,8.3333,8.5333,9.3,,8.2833,,11.9,,14.2,7.1167,3.3333,3.9333,6.25,7.8333,9.15,3.0,4.55,5.95,6.2333,8.0333,5.8333,8.1333,8.45,5.5333,,,8.0,,,,3.5667,4.65,4.2333,8.1,10.5333,8.9667
APWaveform_240.soma.v.AP1_peak,14.4906,,14.5021,8.0708,26.1958,33.0292,23.15,21.8125,22.3979,15.3167,37.9646,,4.0458,,23.8625,,10.325,21.8292,14.2417,22.4562,18.9354,28.8208,28.4688,15.9958,23.3125,18.4542,9.1354,16.4833,29.9167,30.3604,17.4667,22.4875,,,9.6,,,,10.0625,25.6125,17.0833,9.2292,1.85,6.0354
APWaveform_240.soma.v.AP2_AP1_peak_diff,3.8625,,4.8729,2.0708,0.0396,0.1771,-10.6083,,-0.5687,4.85,-9.3979,,5.8688,,,,,-0.4187,5.5187,,2.6188,,-2.9719,,-1.2531,-1.2083,4.4208,2.25,-0.4354,-3.0167,1.1917,-1.1437,,,4.3958,,,,5.6125,1.3562,1.1583,5.5313,8.95,0.9979
APWaveform_240.soma.v.AP2_width,2.6893,,2.5126,3.1541,,,2.6341,,2.6982,1.9496,2.9167,,2.6702,,,,,2.7361,,,,,2.0279,,,,,2.4784,,2.1781,2.594,,,,,,,,,,,,,2.3358
APWaveform_240.soma.v.AP1_begin_width,14.85,,15.4333,14.5333,17.9333,16.3333,12.2333,12.4667,13.5,19.8667,14.3667,,13.9333,,29.3667,,6.2,14.7667,18.6333,4.8333,20.8333,7.4667,15.45,17.1667,19.8,13.4667,22.4667,12.8667,18.1667,13.4,14.8333,18.2333,,,23.2,,,,18.0667,16.95,18.5333,27.7,27.2667,15.2
APWaveform_240.soma.v.AP2_peak,18.3531,,19.375,10.1417,26.2354,33.2063,12.5417,,21.8292,20.1667,28.5667,,9.9146,,,,,21.4104,19.7604,,21.5542,,25.4969,,22.0594,17.2458,13.5563,18.7333,29.4812,27.3438,18.6583,21.3438,,,13.9958,,,,15.675,26.9687,18.2417,14.975,10.8,7.0333
APWaveform_240.soma.v.AHP2_depth_from_peak,80.5156,,82.8719,64.9229,,,67.1167,,77.0958,81.6958,81.9104,,70.7792,,,,,87.4333,,,,,87.2688,,,,,78.2396,,86.2021,79.1583,,,,,,,,,,,,,70.3104
APWaveform_240.soma.v.AP1_width,1.465,,1.2735,1.515,1.0244,0.9328,1.1495,1.3244,1.3071,1.1313,1.1587,,1.3968,,1.2426,,1.7335,1.3308,1.5461,1.1035,1.1137,1.1688,1.0049,1.3815,1.2371,1.0915,1.7225,1.2555,1.0358,0.9978,1.2914,1.2629,,,1.3455,,,,1.3152,1.1206,1.4173,1.341,1.6979,1.33
APWaveform_240.soma.v.AP2_begin_width,5.5,,5.05,5.6333,,,6.5,,6.0,4.3333,6.6,,5.2333,,,,,6.3667,,,,,,,,,,5.4,,5.0667,5.1667,,,,,,,,,,,,,5.3333
APWaveform_240.soma.v.AP2_AP1_begin_width_diff,-9.35,,,-8.9,,,-5.7333,,-7.5,-15.5333,-7.7667,,-8.7,,,,,-8.4,,,,,-10.75,,,,,-7.4667,,-8.3333,-9.6667,,,,,,,,,,,,,-9.8667
APWaveform_240.soma.v.AHP1_depth_from_peak,67.5094,,69.9104,57.5063,83.8917,90.5458,73.2375,79.85,72.7792,70.3062,88.2708,,60.5208,,78.6458,,74.5833,82.1479,69.3896,83.8542,76.2479,85.7229,81.1125,70.3813,80.4156,79.9063,63.2417,74.4583,85.7083,87.2813,71.0479,81.4333,,,68.3042,,,,64.4646,83.5875,74.8271,65.2625,54.2979,65.0083
APWaveform_240.soma.v.AP1_amp,113.2281,,106.9625,110.0187,115.4187,118.3187,112.6958,79.8375,115.9208,109.2,122.2333,,108.6042,,111.0375,,69.7188,116.175,108.2062,87.5083,108.4875,85.9938,115.5438,106.4583,112.5625,108.6854,105.9917,107.4542,118.5021,116.7875,108.3396,113.1771,,,103.6146,,,,105.1187,114.1594,108.9667,101.2875,98.0854,109.9208
APWaveform_240.soma.v.AP2_amp,66.3,,68.9812,53.3833,78.8729,84.5,59.0104,,66.7208,68.8625,69.825,,57.4542,,,,,76.6021,68.8833,,72.525,,72.3281,,73.6562,74.0979,61.5312,67.15,81.1687,75.7729,65.6167,74.0521,,,67.4667,,,,63.3333,82.2594,71.4417,66.9156,56.8958,60.6854
APWaveform_240.soma.v.AP_amplitude,89.7641,,87.9719,81.701,97.1458,101.4094,81.1194,78.2896,91.3208,89.0312,96.0292,,83.0292,,111.0375,,69.7188,96.3885,88.5448,87.5083,90.5062,83.6688,93.9359,100.7688,93.1094,91.3917,83.7615,87.3021,99.8354,96.2802,86.9781,93.6146,,,85.5406,,,,84.226,98.2094,90.2042,89.7365,77.4906,85.3031
APWaveform_240.soma.v.APlast_amp,66.3,,68.9812,53.3833,78.8729,84.5,71.6521,76.7417,66.7208,68.8625,69.825,,57.4542,,111.0375,,69.7188,76.6021,68.8833,87.5083,72.525,81.3438,72.3281,95.0792,73.6562,74.0979,61.5312,67.15,81.1687,75.7729,65.6167,74.0521,,,67.4667,,,,63.3333,82.2594,71.4417,78.1854,56.8958,60.6854
APWaveform_240.soma.v.AP_duration_half_width,1.15,,1.5667,1.2333,1.6333,1.4833,1.4222,1.3333,1.1333,1.3667,1.4167,,1.0833,,,,1.3,1.2833,1.55,1.2333,1.3833,1.4167,1.65,1.8167,1.75,1.3167,1.2,1.2333,1.6833,1.4667,1.5167,1.7667,,,1.5333,,,,1.1833,1.85,1.3833,1.65,0.8833,1.25
APWaveform_280.soma.v.AP_height,15.7774,,15.9958,,24.399,31.1844,,18.7937,,16.4125,31.65,,5.4396,,23.1292,,,19.1885,15.5135,22.7563,18.9813,24.9781,24.0922,18.8073,,15.1979,10.4146,,27.9917,26.7701,16.5271,20.2469,,,10.5042,,,11.9299,11.1344,23.4094,16.1552,,6.9406,7.125
APWaveform_280.soma.v.doublet_ISI,10.2667,,20.2,,17.8667,16.9333,,24.1333,,15.3333,16.3667,,11.7333,,26.3333,,,20.5,20.2,33.6333,17.7333,21.6,12.05,29.1333,,12.1,20.4,,24.7,12.9667,14.8333,26.3,,,24.0667,,,11.6,19.4667,18.5333,20.8667,,20.3667,8.2
APWaveform_280.soma.v.AP_width,2.4833,,2.3833,,,2.0333,,,,,3.3333,,2.35,,1.7333,,,2.55,2.7667,1.4,,,2.175,,,1.9833,3.1333,,1.8,2.2833,2.4833,1.6333,,,1.7,,,2.7167,2.4667,2.3333,2.4167,,2.4667,1.95
APWaveform_280.soma.v.time_to_first_spike,9.1,,8.9667,,11.2,,,15.6,,12.8333,8.7,,9.3333,,14.2333,,,9.5,11.7667,11.7,13.2333,19.1333,,12.0,,8.7667,13.6667,,10.5333,8.4,9.1667,10.7667,,,12.8667,,,,11.6333,9.6667,11.8667,,13.8333,9.9333
APWaveform_280.soma.v.AHP_depth_abs,-55.9063,,-58.9292,,-61.35,-58.9563,,-56.2937,,-57.8094,-50.7167,,-57.149,,-53.1312,,,-63.7115,-58.101,-61.4458,-61.2469,-56.3688,-56.0547,-54.0812,,-63.7781,-55.9708,,-56.7042,-56.8354,-56.3573,-58.8667,,,-59.0281,,,-52.7021,-57.2667,-62.0688,-59.2594,,-51.9906,-60.3708
APWaveform_280.soma.v.AHP_depth,26.8292,,23.0403,,21.6941,23.4694,,25.8528,,24.7472,30.5854,,25.7569,,30.0438,,,19.376,24.4097,22.2649,21.9233,26.2677,26.2484,29.4444,,20.8618,28.1212,,26.7021,25.3937,26.1014,24.4583,,,25.4,,,30.0628,26.2108,20.8597,24.1736,,31.108,23.1899
